duration,UDP,out_packets,out_bytes,in_packets,in_bytes,label
30.019000000000005,1.0,32,17784,4229324,4508457336,1
30.022000000000048,0.0,2612145,114304263050,1733938,114439884,0
30.02199999999993,0.0,2580747,112931439830,1713855,113114430,0
30.019999999999985,1.0,32,17784,4300996,4584859688,1
30.022000000000048,0.0,2446162,107042798348,1627398,107408244,0
30.02199999999993,0.0,2585405,113136219554,1716800,113308776,0
30.02199999999993,1.0,1,42,2656,4014402,0
30.02099999999973,1.0,1,42,2651,4006842,0
30.022999999999683,0.0,2462599,107759797702,1635980,107974656,0
30.021,1.0,31,17742,4296399,4579960310,1
30.025,0.0,32,2424,5141470,257073484,1
30.021,1.0,32,17784,4285975,4568847302,1
30.02199999999993,1.0,0,0,2606,3940272,0
30.026000000000067,0.0,32,2424,5555131,277756534,1
30.02100000000001,0.0,18,1368,2166745,108337242,1
30.019000000000005,1.0,30,17700,4508900,4806487400,1
30.02300000000014,1.0,1,42,2652,4008354,0
30.019000000000005,1.0,32,17784,4289813,4572938610,1
30.02000000000009,1.0,33,17826,4303655,4587693158,1
30.02199999999993,1.0,0,0,2664,4027968,0
30.02099999999973,0.0,2572893,112586858194,1710210,112873836,0
30.02199999999993,0.0,30,2340,5547714,277385700,1
30.021000000000186,0.0,2515931,110094761942,1670919,110280630,0
30.01899999999977,1.0,0,0,2612,3949344,0
30.02299999999991,0.0,31,2382,5542028,277101392,1
30.02199999999993,0.0,2543266,111289648580,1691339,111628374,0
30.019999999999925,1.0,32,17784,4314851,4599629118,1
30.02199999999993,1.0,1,42,2654,4011378,0
30.02099999999973,0.0,2586556,113192525432,1717853,113378298,0
30.02200000000016,0.0,31,2382,5471664,273583192,1
30.02300000000014,1.0,1,42,2658,4017426,0
30.02200000000016,0.0,32,2424,5523004,276150184,1
30.02099999999973,0.0,2525598,110518042004,1677609,110722170,0
30.019999999999985,1.0,32,17784,4518316,4816522808,1
30.02199999999993,0.0,2535444,110948345104,1682676,111056592,0
30.01800000000003,0.0,12,864,915215,45760742,1
30.019999999999985,0.0,31,2382,5549851,277492542,1
30.022000000000048,0.0,32,2424,5567145,278357234,1
30.02199999999993,1.0,1,42,2651,4006842,0
30.019999999999868,1.0,32,17784,4290898,4574095220,1
30.019999999999985,0.0,32,2424,5510781,275539034,1
30.02199999999993,1.0,33,17826,4299405,4583162658,1
30.019999999999985,1.0,31,17742,4284259,4567019070,1
30.019000000000005,0.0,16,1176,2569768,128488384,1
30.021000000000186,0.0,2483538,108676849444,1647151,108711966,0
30.021000000000186,1.0,1,42,2657,4015914,0
30.02300000000014,1.0,1,42,2652,4008354,0
30.021000000000186,1.0,1,42,2665,4028010,0
30.02200000000016,0.0,2560114,112028696612,1697505,112035282,0
30.01800000000003,0.0,13,1014,2465523,123276150,1
30.02199999999993,0.0,2525363,110512389646,1677772,110732928,0
30.02099999999996,0.0,2537767,111051651358,1686238,111291708,0
30.019000000000005,0.0,2478655,108464189750,1647315,108722766,0
30.02100000000001,1.0,31,17742,4304560,4588659936,1
30.01800000000003,0.0,14,1056,2292188,114609392,1
30.019000000000005,1.0,32,17784,4503210,4800419812,1
30.021000000000072,1.0,32,17784,4320577,4605733034,1
30.019999999999985,0.0,2581088,112946601504,1715374,113214660,0
30.037000000000035,0.0,31,2382,5554220,277710992,1
30.02299999999991,0.0,31,2382,5562867,278143342,1
30.02199999999999,0.0,2572504,112570513704,1710268,112877688,0
30.022000000000048,0.0,2451264,107265171048,1628990,107513316,0
30.019999999999985,0.0,2506744,109692026704,1665316,109910832,0
30.02099999999996,0.0,2489387,108934857822,1653461,109128378,0
30.021000000000186,0.0,2530260,110722296976,1680767,110930598,0
30.02099999999996,0.0,2598383,113701734278,1726074,113920860,0
30.022999999999683,1.0,1,42,2657,4015914,0
30.020999999999844,1.0,32,17784,4532922,4832092804,1
30.02199999999993,0.0,32,2424,5586905,279345234,1
30.020999999999987,0.0,32,2424,5531539,276576934,1
30.02199999999993,1.0,1,42,2651,4006842,0
30.02200000000016,0.0,2572838,112585149124,1708000,112727976,0
30.018999999999977,1.0,32,17784,4530841,4829874458,1
30.019999999999754,0.0,32,2424,5518603,275930134,1
30.019000000000005,1.0,32,17784,4302763,4586743310,1
30.021000000000186,0.0,2562079,112113170782,1701784,112317720,0
30.02099999999996,0.0,2531630,110782614604,1679621,110854962,0
30.019999999999985,1.0,32,17784,4507371,4804855438,1
30.02199999999993,0.0,2579887,112894158598,1713250,113074476,0
30.02300000000014,1.0,1,42,2652,4008354,0
30.02100000000001,0.0,2464965,107864222762,1637292,108061248,0
30.019000000000005,1.0,32,17784,4275263,4557428310,1
30.02199999999993,1.0,1,42,2658,4017426,0
30.02199999999993,0.0,2493926,109130585020,1654439,109192950,0
30.02099999999996,0.0,2526154,110541342828,1677323,110703270,0
30.02299999999991,0.0,32,2424,5551811,277590534,1
30.019999999999985,1.0,33,18374,4301004,4584868216,1
30.02199999999993,0.0,32,2424,5583799,279189934,1
30.02300000000014,1.0,1,42,2659,4018938,0
30.02199999999993,0.0,2529483,110688626126,1679495,110846670,0
30.02199999999993,1.0,1,42,2652,4008354,0
30.02199999999993,0.0,31,2382,5452264,272613192,1
30.02100000000064,1.0,1,42,2652,4008354,0
30.019999999999985,1.0,32,17784,4321311,4606515478,1
30.021000000000186,0.0,2467949,107995425794,1640295,108259446,0
30.019000000000005,1.0,32,17784,4307999,4592324886,1
30.02099999999973,0.0,2536612,110999212216,1684142,111153348,0
30.021000000000186,0.0,2454663,107411737646,1628672,107492328,0
30.02199999999993,1.0,0,0,2656,4015872,0
30.02000000000001,0.0,31,2382,5535715,276785742,1
30.02199999999993,1.0,0,0,2656,4015872,0
30.02199999999993,1.0,2,84,2658,4015956,0
30.022000000000048,0.0,31,2382,5597523,279876142,1
30.02100000000001,0.0,2568827,112410886718,1708203,112741398,0
30.02199999999993,0.0,32,2424,5577793,278889634,1
30.02499999999964,0.0,32,2424,5569865,278493234,1
30.021000000000072,0.0,2545567,111390922870,1689729,111522114,0
30.02200000000039,1.0,1,42,2657,4015914,0
30.02199999999993,0.0,2582814,113023195556,1714958,113187204,0
30.019000000000005,0.0,15,1134,2665207,133260342,1
30.02099999999973,1.0,0,0,2659,4020408,0
30.02099999999996,0.0,20,1452,2128525,106426226,1
30.02199999999993,1.0,0,0,2657,4017384,0
